COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
128.0,0.0,4197.435897435899,4218.97435897436,4198.46153846154,4183.589743589745,4184.615384615386,4176.923076923078,4108.20512820513,4185.128205128207,4214.3589743589755,4207.179487179489,4204.102564102565,4224.102564102565,4292.307692307694,4208.20512820513,833.0,2049.0,2059.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
0.0,0.0,4182.564102564104,4203.076923076925,4186.153846153848,4181.538461538463,4184.102564102565,4180.512820512822,4089.230769230771,4178.97435897436,4201.538461538463,4198.46153846154,4198.97435897436,4217.435897435899,4276.923076923078,4194.3589743589755,810.0,2050.0,2058.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1.0,0.0,4183.076923076925,4191.282051282053,4182.051282051283,4191.282051282053,4185.128205128207,4178.97435897436,4084.102564102566,4170.256410256412,4197.435897435899,4201.0256410256425,4187.179487179489,4214.871794871797,4275.384615384617,4192.8205128205145,846.0,2051.0,2057.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2.0,0.0,4197.94871794872,4211.282051282053,4190.256410256412,4196.410256410258,4182.564102564104,4173.846153846155,4088.71794871795,4176.923076923078,4210.256410256412,4204.102564102565,4192.307692307694,4217.94871794872,4288.20512820513,4201.538461538463,838.0,2051.0,2058.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
3.0,0.0,4195.384615384617,4217.94871794872,4190.769230769232,4201.538461538463,4178.46153846154,4168.71794871795,4088.71794871795,4183.589743589745,4210.256410256412,4202.564102564104,4200.000000000002,4213.846153846155,4285.641025641027,4197.94871794872,835.0,2050.0,2058.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
4.0,0.0,4187.692307692309,4212.307692307694,4187.692307692309,4197.94871794872,4183.589743589745,4166.153846153848,4081.0256410256425,4180.512820512822,4202.051282051283,4201.538461538463,4197.435897435899,4209.743589743592,4276.410256410258,4194.3589743589755,0.0,2051.0,2057.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
5.0,0.0,4187.692307692309,4216.923076923078,4187.179487179489,4188.71794871795,4183.589743589745,4171.794871794873,4074.8717948717963,4182.564102564104,4204.102564102565,4200.000000000002,4198.46153846154,4213.333333333335,4285.128205128207,4197.435897435899,640.0,2050.0,2058.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
6.0,0.0,4184.615384615386,4218.46153846154,4182.051282051283,4178.97435897436,4180.000000000002,4178.46153846154,4076.9230769230785,4185.641025641027,4208.20512820513,4201.538461538463,4202.051282051283,4209.743589743592,4290.769230769232,4186.666666666668,798.0,2050.0,2055.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
7.0,0.0,4179.487179487181,4225.128205128207,4175.384615384617,4175.384615384617,4180.512820512822,4176.923076923078,4078.46153846154,4184.102564102565,4210.769230769232,4206.153846153848,4201.538461538463,4205.641025641027,4287.179487179489,4177.435897435899,864.0,2050.0,2054.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
8.0,0.0,4181.0256410256425,4231.282051282053,4175.897435897437,4181.538461538463,4182.051282051283,4176.410256410258,4058.9743589743603,4185.641025641027,4212.307692307694,4204.615384615386,4201.0256410256425,4206.153846153848,4290.769230769232,4186.666666666668,759.0,2050.0,2052.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
9.0,0.0,4187.692307692309,4229.743589743592,4182.564102564104,4185.641025641027,4185.641025641027,4181.538461538463,4046.6666666666683,4184.102564102565,4211.282051282053,4201.0256410256425,4201.0256410256425,4202.051282051283,4297.94871794872,4194.871794871797,227.0,2050.0,2051.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0
10.0,0.0,4196.923076923078,4242.051282051283,4188.20512820513,4190.256410256412,4181.538461538463,4179.487179487181,4065.641025641027,4182.051282051283,4213.333333333335,4205.128205128207,4204.615384615386,4202.564102564104,4300.000000000002,4193.846153846155,859.0,2050.0,2051.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,4.0
11.0,0.0,4191.794871794873,4256.410256410258,4183.076923076925,4181.538461538463,4181.538461538463,4174.3589743589755,4075.8974358974374,4182.051282051283,4215.384615384617,4207.692307692309,4205.128205128207,4202.564102564104,4297.435897435899,4187.692307692309,825.0,2050.0,2051.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0
12.0,0.0,4172.307692307694,4240.512820512822,4172.8205128205145,4170.256410256412,4185.641025641027,4176.923076923078,4069.230769230771,4174.871794871797,4205.128205128207,4201.0256410256425,4193.846153846155,4189.743589743592,4288.20512820513,4176.923076923078,833.0,2050.0,2049.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0
13.0,0.0,4166.666666666668,4216.923076923078,4168.71794871795,4176.923076923078,4183.076923076925,4176.410256410258,4085.641025641027,4172.307692307694,4199.487179487181,4198.46153846154,4183.076923076925,4180.512820512822,4279.487179487181,4170.769230769232,844.0,2051.0,2049.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
14.0,0.0,4177.94871794872,4218.97435897436,4170.769230769232,4181.0256410256425,4184.102564102565,4171.282051282053,4119.487179487181,4171.794871794873,4204.615384615386,4202.051282051283,4182.564102564104,4187.179487179489,4277.435897435899,4173.333333333335,859.0,2049.0,2046.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
15.0,0.0,4178.46153846154,4237.94871794872,4168.71794871795,4177.94871794872,4183.076923076925,4169.743589743592,4124.615384615386,4166.153846153848,4204.615384615386,4201.538461538463,4190.256410256412,4191.794871794873,4283.589743589745,4171.794871794873,825.0,2049.0,2045.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
16.0,0.0,4180.000000000002,4254.3589743589755,4172.8205128205145,4189.23076923077,4181.538461538463,4178.97435897436,4107.179487179489,4175.384615384617,4211.282051282053,4202.564102564104,4200.512820512822,4194.871794871797,4299.487179487181,4182.051282051283,0.0,2051.0,2043.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
17.0,0.0,4195.384615384617,4251.794871794873,4180.512820512822,4201.538461538463,4184.615384615386,4182.051282051283,4114.3589743589755,4187.179487179489,4221.0256410256425,4204.615384615386,4205.128205128207,4202.564102564104,4305.128205128207,4199.487179487181,0.0,2052.0,2042.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
18.0,0.0,4191.794871794873,4234.3589743589755,4171.794871794873,4191.794871794873,4181.538461538463,4175.384615384617,4144.102564102565,4173.846153846155,4210.769230769232,4201.538461538463,4192.307692307694,4198.46153846154,4289.743589743592,4192.307692307694,0.0,2051.0,2039.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
19.0,0.0,4175.897435897437,4225.128205128207,4164.615384615386,4184.615384615386,4182.051282051283,4180.512820512822,4126.153846153848,4162.051282051283,4201.538461538463,4200.512820512822,4184.102564102565,4188.71794871795,4276.923076923078,4182.564102564104,0.0,2052.0,2038.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
20.0,0.0,4182.051282051283,4218.46153846154,4169.23076923077,4184.615384615386,4182.564102564104,4184.615384615386,4100.512820512822,4175.897435897437,4206.153846153848,4203.589743589745,4192.8205128205145,4193.846153846155,4278.97435897436,4191.282051282053,0.0,2051.0,2035.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
