COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
88.0,0.0,4230.256410256412,4188.20512820513,4197.94871794872,4202.564102564104,4166.666666666668,4184.102564102565,4040.0000000000014,4204.615384615386,4186.666666666668,4195.384615384617,4200.512820512822,4263.589743589745,3995.384615384617,4215.384615384617,839.0,2042.0,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,0.0,4196.410256410258,4182.564102564104,4162.564102564104,4189.743589743592,4168.20512820513,4181.0256410256425,4001.5384615384633,4189.743589743592,4178.97435897436,4190.256410256412,4191.282051282053,4212.8205128205145,3974.8717948717963,4178.46153846154,845.0,2042.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,0.0,4175.384615384617,4179.487179487181,4134.3589743589755,4177.94871794872,4168.20512820513,4177.435897435899,3980.0000000000014,4170.256410256412,4171.282051282053,4185.128205128207,4184.615384615386,4188.20512820513,3971.7948717948734,4153.846153846155,807.0,2044.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,0.0,4213.846153846155,4185.128205128207,4174.3589743589755,4191.282051282053,4165.641025641027,4180.512820512822,4005.641025641027,4187.179487179489,4175.897435897437,4188.71794871795,4192.8205128205145,4241.0256410256425,3992.8205128205145,4196.923076923078,825.0,2045.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,4212.307692307694,4181.538461538463,4178.46153846154,4185.641025641027,4168.71794871795,4181.538461538463,4002.0512820512836,4196.923076923078,4175.384615384617,4187.692307692309,4190.256410256412,4241.538461538463,3989.743589743591,4196.410256410258,839.0,2046.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,0.0,4183.076923076925,4181.538461538463,4142.051282051283,4174.871794871797,4163.589743589745,4175.897435897437,3955.8974358974374,4181.538461538463,4172.307692307694,4183.076923076925,4186.153846153848,4196.923076923078,3981.0256410256425,4159.487179487181,845.0,2045.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,0.0,4228.71794871795,4183.589743589745,4195.384615384617,4189.23076923077,4167.179487179489,4182.051282051283,3972.8205128205145,4201.538461538463,4182.564102564104,4189.743589743592,4194.871794871797,4248.20512820513,3995.8974358974374,4209.23076923077,807.0,2044.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,0.0,4251.282051282053,4180.512820512822,4225.641025641027,4199.487179487181,4168.71794871795,4188.71794871795,4008.2051282051298,4225.641025641027,4184.102564102565,4193.846153846155,4194.871794871797,4293.846153846155,3993.846153846155,4238.97435897436,825.0,2044.0,2046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,4190.256410256412,4184.615384615386,4145.641025641027,4178.46153846154,4167.179487179489,4186.153846153848,3983.589743589745,4197.435897435899,4176.923076923078,4187.692307692309,4194.3589743589755,4223.589743589745,3977.435897435899,4173.333333333335,839.0,2043.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,0.0,4178.97435897436,4195.384615384617,4132.8205128205145,4172.8205128205145,4173.846153846155,4185.641025641027,4009.230769230771,4178.46153846154,4180.000000000002,4189.743589743592,4202.564102564104,4193.333333333335,3992.3076923076937,4166.153846153848,845.0,2041.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
