COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
109.0,0.0,4213.846153846155,4196.923076923078,4218.97435897436,4321.538461538463,4188.71794871795,4242.564102564104,4091.7948717948734,4183.076923076925,4198.97435897436,4190.256410256412,4225.128205128207,4233.846153846155,4184.102564102565,4202.564102564104,851.0,2040.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,0.0,4175.384615384617,4158.46153846154,4187.179487179489,4275.897435897437,4186.666666666668,4238.97435897436,4074.8717948717963,4170.256410256412,4178.97435897436,4184.102564102565,4200.000000000002,4211.282051282053,4155.897435897437,4163.076923076925,864.0,2039.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,0.0,4162.564102564104,4115.384615384617,4178.46153846154,4249.23076923077,4191.282051282053,4237.435897435899,4060.0000000000014,4160.512820512822,4161.0256410256425,4180.512820512822,4183.589743589745,4197.435897435899,4134.3589743589755,4142.564102564104,821.0,2040.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,0.0,4197.94871794872,4174.3589743589755,4202.051282051283,4270.256410256412,4189.23076923077,4228.20512820513,4040.0000000000014,4168.20512820513,4172.8205128205145,4181.538461538463,4196.410256410258,4213.333333333335,4160.512820512822,4173.846153846155,852.0,2041.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,0.0,4189.23076923077,4168.20512820513,4191.794871794873,4264.102564102565,4187.179487179489,4222.051282051283,4011.7948717948734,4154.871794871797,4165.128205128207,4176.923076923078,4188.20512820513,4206.153846153848,4157.435897435899,4172.307692307694,851.0,2041.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.0,0.0,4163.076923076925,4107.179487179489,4176.923076923078,4217.94871794872,4186.153846153848,4222.051282051283,4012.3076923076937,4142.564102564104,4146.153846153848,4171.794871794873,4166.666666666668,4194.871794871797,4130.256410256412,4151.794871794873,864.0,2042.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,0.0,4182.564102564104,4148.71794871795,4195.897435897437,4216.410256410258,4190.256410256412,4224.102564102565,4014.358974358976,4161.538461538463,4157.94871794872,4173.846153846155,4179.487179487181,4206.666666666668,4141.0256410256425,4164.102564102565,821.0,2042.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,0.0,4188.71794871795,4179.487179487181,4196.923076923078,4232.307692307694,4190.256410256412,4222.051282051283,4005.641025641027,4174.3589743589755,4171.282051282053,4177.435897435899,4195.384615384617,4204.102564102565,4155.897435897437,4169.743589743592,852.0,2040.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,0.0,4166.153846153848,4119.487179487181,4177.94871794872,4223.076923076925,4186.666666666668,4214.3589743589755,4032.8205128205145,4171.282051282053,4164.615384615386,4177.94871794872,4189.743589743592,4191.794871794873,4153.846153846155,4164.102564102565,851.0,2039.0,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,0.0,4153.846153846155,4094.8717948717963,4171.282051282053,4192.8205128205145,4190.256410256412,4211.282051282053,4058.9743589743603,4158.97435897436,4145.641025641027,4172.8205128205145,4167.692307692309,4183.076923076925,4137.94871794872,4158.46153846154,864.0,2040.0,2036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,0.0,4150.769230769232,4115.897435897437,4169.23076923077,4151.794871794873,4186.666666666668,4216.410256410258,4054.8717948717963,4148.20512820513,4134.3589743589755,4164.102564102565,4149.743589743592,4180.000000000002,4120.512820512822,4141.0256410256425,821.0,2041.0,2036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0,4158.97435897436,4114.3589743589755,4181.0256410256425,4146.153846153848,4186.153846153848,4225.128205128207,4086.1538461538476,4160.000000000002,4149.743589743592,4166.153846153848,4165.128205128207,4194.871794871797,4135.897435897437,4143.589743589745,852.0,2041.0,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,0.0,4171.794871794873,4131.282051282053,4199.487179487181,4183.589743589745,4190.769230769232,4226.153846153848,4122.051282051283,4175.897435897437,4168.71794871795,4180.512820512822,4186.666666666668,4209.743589743592,4163.076923076925,4179.487179487181,851.0,2041.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,0.0,4168.71794871795,4146.666666666668,4193.846153846155,4199.487179487181,4184.102564102565,4214.871794871797,4088.2051282051298,4174.3589743589755,4167.692307692309,4184.102564102565,4182.564102564104,4205.641025641027,4157.435897435899,4197.94871794872,864.0,2040.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,0.0,4154.3589743589755,4124.615384615386,4179.487179487181,4168.71794871795,4184.615384615386,4211.282051282053,4047.1794871794887,4166.666666666668,4159.487179487181,4176.410256410258,4172.8205128205145,4193.846153846155,4144.615384615386,4184.102564102565,821.0,2039.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,0.0,4149.23076923077,4121.538461538463,4177.435897435899,4156.923076923078,4185.128205128207,4218.46153846154,4053.333333333335,4167.692307692309,4158.97435897436,4177.435897435899,4176.923076923078,4190.256410256412,4156.923076923078,4177.435897435899,852.0,2038.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,0.0,4151.282051282053,4114.3589743589755,4183.589743589745,4168.20512820513,4186.666666666668,4221.538461538463,4070.7692307692323,4170.769230769232,4161.0256410256425,4182.051282051283,4178.97435897436,4193.333333333335,4158.97435897436,4183.076923076925,851.0,2038.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,0.0,4154.3589743589755,4098.97435897436,4183.589743589745,4163.076923076925,4190.769230769232,4218.46153846154,4073.333333333335,4168.71794871795,4153.846153846155,4177.435897435899,4168.71794871795,4195.384615384617,4136.410256410258,4174.871794871797,864.0,2039.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,0.0,4160.000000000002,4126.666666666668,4181.0256410256425,4170.256410256412,4185.641025641027,4213.333333333335,4066.6666666666683,4171.282051282053,4153.333333333335,4176.923076923078,4166.153846153848,4196.923076923078,4138.46153846154,4172.8205128205145,821.0,2039.0,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,0.0,4172.8205128205145,4134.871794871797,4192.307692307694,4190.769230769232,4185.128205128207,4214.871794871797,4058.46153846154,4185.641025641027,4171.794871794873,4188.71794871795,4177.94871794872,4206.153846153848,4161.0256410256425,4192.307692307694,852.0,2039.0,2041.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
0.0,0.0,4165.128205128207,4080.512820512822,4191.282051282053,4181.0256410256425,4186.153846153848,4210.769230769232,4040.512820512822,4187.179487179489,4170.769230769232,4185.128205128207,4173.333333333335,4197.94871794872,4146.666666666668,4187.692307692309,820.0,2040.0,2041.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1.0,0.0,4136.410256410258,4064.102564102566,4164.615384615386,4158.46153846154,4187.179487179489,4196.410256410258,4042.0512820512836,4161.538461538463,4138.97435897436,4167.692307692309,4147.692307692309,4165.641025641027,4111.282051282053,4157.435897435899,844.0,2039.0,2042.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
2.0,0.0,4141.538461538463,4102.564102564104,4164.102564102565,4171.282051282053,4190.769230769232,4198.46153846154,4085.1282051282064,4155.384615384617,4135.897435897437,4169.23076923077,4144.102564102565,4169.743589743592,4118.46153846154,4158.46153846154,842.0,2042.0,2040.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
3.0,0.0,4167.692307692309,4117.94871794872,4186.666666666668,4188.20512820513,4187.692307692309,4213.333333333335,4101.0256410256425,4175.897435897437,4158.46153846154,4180.000000000002,4163.589743589745,4195.384615384617,4137.94871794872,4178.46153846154,836.0,2042.0,2039.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
4.0,0.0,4169.743589743592,4116.923076923078,4192.8205128205145,4185.128205128207,4185.641025641027,4221.0256410256425,4084.615384615386,4187.692307692309,4163.076923076925,4181.0256410256425,4171.794871794873,4196.923076923078,4136.410256410258,4182.051282051283,0.0,2043.0,2040.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
5.0,0.0,4163.589743589745,4103.076923076925,4188.20512820513,4189.23076923077,4185.641025641027,4216.410256410258,4091.7948717948734,4190.256410256412,4162.564102564104,4181.0256410256425,4168.71794871795,4201.0256410256425,4140.512820512822,4174.871794871797,605.0,2043.0,2041.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
